 MAVIR MKp - Adatok letõltése;
;
Létrehozás dátuma: 2019.06.04.;
Létrehozás idõpontja: 8:52;
Adatok letõltése az alábbi helyrõl:;EONEROMU;
;
Mérési pont ID + Mutatószám(ok);
1: HU000120B11-U-NAPE-SZIGVA-0400-32 // Szigetvár naperõmû kiadott (100 kW Gamma Kft.) // Szigetvár naperõmû kiadott (100 kW Gamma Kft.) (DPID: 16691) // 2.29.99.128  TG15 A-;

Egyedi értékek;
Mérési idõszak (perc);15;;;;
Mennyiségi egység;kW;;;;
Dátum / idõ;1. Adatsor;Állapot;Hihetoség;
2018.07.03. 8:30;83,015;W;E (1);
2018.07.03. 8:45;105,365;W;E (1);
2018.07.03. 9:00;145,476;W;E (1);
2018.07.03. 9:15;177,704;W;E (1);
2018.07.03. 9:30;128,414;W;E (1);
2018.07.03. 9:45;142,482;W;E (1);
2018.07.03. 10:00;171,019;W;E (1);
2018.07.03. 10:15;262,715;W;E (1);
2018.07.03. 10:30;258,225;W;E (1);
2018.07.03. 10:45;386,938;W;E (1);
2018.07.03. 11:00;427,947;W;E (1);
2018.07.03. 11:15;430,342;W;E (1);
2018.07.03. 11:30;431,938;W;E (1);
2018.07.03. 11:45;441,516;W;E (1);
2018.07.03. 12:00;447,503;W;E (1);
2018.07.03. 12:15;455,685;W;E (1);
2018.07.03. 12:30;456,583;W;E (1);
2018.07.03. 12:45;458,080;W;E (1);
2018.07.03. 13:00;459,776;W;E (1);
2018.07.03. 13:15;456,384;W;E (1);
2018.07.03. 13:30;454,188;W;E (1);
2018.07.03. 13:45;449,100;W;E (1);
2018.07.03. 14:00;444,310;W;E (1);
2018.07.03. 14:15;437,725;W;E (1);
2018.07.03. 14:30;429,643;W;E (1);
2018.07.03. 14:45;417,370;W;E (1);
2018.07.03. 15:00;405,896;W;E (1);
2018.07.03. 15:15;392,226;W;E (1);
2018.07.03. 15:30;372,171;W;E (1);
2018.07.03. 15:45;356,206;W;E (1);
2018.07.03. 16:00;338,945;W;E (1);
2018.07.03. 16:15;316,495;W;E (1);
2018.07.03. 16:30;293,646;W;E (1);
2018.07.03. 16:45;269,400;W;E (1);
2018.07.03. 17:00;243,857;W;E (1);
2018.07.03. 17:15;217,416;W;E (1);
2018.07.03. 17:30;192,671;W;E (1);
2018.07.03. 17:45;165,132;W;E (1);
2018.07.03. 18:00;138,791;W;E (1);
2018.07.03. 18:15;114,046;W;E (1);
2018.07.03. 18:30;90,698;W;E (1);
2018.07.03. 18:45;68,647;W;E (1);
2018.07.03. 19:00;49,689;W;E (1);
2018.07.03. 19:15;35,521;W;E (1);
2018.07.03. 19:30;25,244;W;E (1);
2018.07.03. 19:45;17,960;W;E (1);
2018.07.03. 20:00;15,266;W;E (1);
2018.07.03. 20:15;10,377;W;E (1);
2018.07.03. 20:30;2,195;W;E (1);
2018.07.03. 20:45;0,199;W;E (1);
2018.07.03. 21:00;0,000;W;E (1);
2018.07.03. 21:15;0,000;W;E (1);
2018.07.03. 21:30;0,000;W;E (1);
2018.07.03. 21:45;0,000;W;E (1);
2018.07.03. 22:00;0,000;W;E (1);
2018.07.03. 22:15;0,000;W;E (1);
2018.07.03. 22:30;0,000;W;E (1);
2018.07.03. 22:45;0,000;W;E (1);
2018.07.03. 23:00;0,000;W;E (1);
2018.07.03. 23:15;0,000;W;E (1);
2018.07.03. 23:30;0,000;W;E (1);
2018.07.03. 23:45;0,000;W;E (1);
2018.07.04. 0:00;0,000;W;E (1);
2018.07.04. 0:15;0,000;W;E (1);
2018.07.04. 0:30;0,000;W;E (1);
2018.07.04. 0:45;0,000;W;E (1);
2018.07.04. 1:00;0,000;W;E (1);
2018.07.04. 1:15;0,000;W;E (1);
2018.07.04. 1:30;0,000;W;E (1);
2018.07.04. 1:45;0,000;W;E (1);
2018.07.04. 2:00;0,000;W;E (1);
2018.07.04. 2:15;0,000;W;E (1);
2018.07.04. 2:30;0,000;W;E (1);
2018.07.04. 2:45;0,000;W;E (1);
2018.07.04. 3:00;0,000;W;E (1);
2018.07.04. 3:15;0,000;W;E (1);
2018.07.04. 3:30;0,000;W;E (1);
2018.07.04. 3:45;0,000;W;E (1);
2018.07.04. 4:00;0,000;W;E (1);
2018.07.04. 4:15;0,000;W;E (1);
2018.07.04. 4:30;0,000;W;E (1);
2018.07.04. 4:45;0,000;W;E (1);
2018.07.04. 5:00;0,000;W;E (1);
2018.07.04. 5:15;0,698;W;E (1);
2018.07.04. 5:30;3,592;W;E (1);
2018.07.04. 5:45;8,680;W;E (1);
2018.07.04. 6:00;15,266;W;E (1);
2018.07.04. 6:15;22,450;W;E (1);
2018.07.04. 6:30;28,337;W;E (1);
2018.07.04. 6:45;49,689;W;E (1);
2018.07.04. 7:00;94,888;W;E (1);
2018.07.04. 7:15;90,698;W;E (1);
2018.07.04. 7:30;84,013;W;E (1);
2018.07.04. 7:45;110,154;W;E (1);
2018.07.04. 8:00;111,751;W;E (1);
2018.07.04. 8:15;132,205;W;E (1);
2018.07.04. 8:30;135,698;W;E (1);
2018.07.04. 8:45;144,478;W;E (1);
2018.07.04. 9:00;89,002;W;E (1);
2018.07.04. 9:15;30,432;W;E (1);
2018.07.04. 9:30;9,379;W;E (1);
2018.07.04. 9:45;15,465;W;E (1);
2018.07.04. 10:00;32,128;W;E (1);
2018.07.04. 10:15;49,689;W;E (1);
2018.07.04. 10:30;111,252;W;E (1);
2018.07.04. 10:45;89,800;W;E (1);
2018.07.04. 11:00;56,674;W;E (1);
2018.07.04. 11:15;52,084;W;E (1);
2018.07.04. 11:30;84,512;W;E (1);
2018.07.04. 11:45;122,028;W;E (1);
