"datetime";"termeles_kW";"cloudCover";"temperature";"humidity";"eromu";"icon";"precipProbability";"precipIntensity";"dewPoint";"apparentTemperature";"Rad";"ForecastOrNot";"GHI";"TOA"
2018-12-17 05:15:00;0;1;-5,01;0,84;"szigetvar_gamma";"fog";0;0;-7,24;-8,18;0;0;0;0
2018-12-17 05:30:00;0;1;-5,26;0,84;"szigetvar_gamma";"fog";0;0;-7,49;-8,23;0;0;0;0
2018-12-17 05:45:00;0;1;-5,51;0,84;"szigetvar_gamma";"fog";0;0;-7,74;-8,28;0;0;0;0
2018-12-17 06:00:00;0;1;-5,76;0,84;"szigetvar_gamma";"fog";0;0;-7,99;-8,33;0;0;0;0
2018-12-17 06:15:00;0;1;-5,76;0,84;"szigetvar_gamma";"fog";0;0;-7,99;-8,33;0;0;0;0
2018-12-17 06:30:00;0;1;-5,76;0,84;"szigetvar_gamma";"fog";0;0;-7,99;-8,33;0;0;0;0
2018-12-17 06:45:00;0;1;-5,76;0,84;"szigetvar_gamma";"fog";0;0;-7,99;-8,33;0;0;0;0
2018-12-17 07:00:00;0;1;-5,76;0,84;"szigetvar_gamma";"fog";0;0;-7,99;-8,33;0;0;0;0
2018-12-17 07:15:00;0;1;-5,51;0,84;"szigetvar_gamma";"fog";0;0;-7,74;-8,0425;0;0;0;0
2018-12-17 07:30:00;0,399;1;-5,26;0,84;"szigetvar_gamma";"fog";0;0;-7,49;-7,755;0;0;0;0
2018-12-17 07:45:00;2,095;1;-5,01;0,84;"szigetvar_gamma";"fog";0;0;-7,24;-7,4675;10;0;1,5779;5,2194
2018-12-17 08:00:00;3,991;1;-4,76;0,84;"szigetvar_gamma";"fog";0;0;-6,99;-7,18;33;0;7,1101;17,8392
2018-12-17 08:15:00;5,687;1;-4,51;0,84;"szigetvar_gamma";"fog";0;0;-6,74;-6,325;54;0;14,3362;30,0151
2018-12-17 08:30:00;8,581;1;-4,26;0,84;"szigetvar_gamma";"fog";0;0;-6,49;-5,47;74;0;22,2878;41,633
2018-12-17 08:45:00;13,17;1;-4,01;0,84;"szigetvar_gamma";"fog";0;0;-6,24;-4,615;93;0;30,443;52,6434
2018-12-17 09:00:00;20,155;1;-3,76;0,84;"szigetvar_gamma";"fog";0;0;-5,99;-3,76;111;0;38,4986;62,999
2018-12-17 09:15:00;21,951;1;-3,76;0,84;"szigetvar_gamma";"fog";0;0;-5,99;-3,76;128;0;46,2634;72,6556
2018-12-17 09:30:00;24,346;1;-3,76;0,84;"szigetvar_gamma";"fog";0;0;-5,99;-3,76;143;0;53,6064;81,5717
2018-12-17 09:45:00;31,23;1;-3,76;0,84;"szigetvar_gamma";"fog";0;0;-5,99;-3,76;157;0;60,4304;89,7093
2018-12-17 10:00:00;45,099;1;-3,76;0,84;"szigetvar_gamma";"fog";0;0;-5,99;-3,76;169;0;66,6596;97,0334
2018-12-17 10:15:00;47,294;0,9375;-3,2575;0,8425;"szigetvar_gamma";"fog";0;0;-5,4875;-3,2575;179;0;72,2201;103,5127
2018-12-17 10:30:00;46,496;0,875;-2,755;0,845;"szigetvar_gamma";"fog";0;0;-4,985;-2,755;188;0;77,0601;109,1195
2018-12-17 10:45:00;33,625;0,8125;-2,2525;0,8475;"szigetvar_gamma";"fog";0;0;-4,4825;-2,2525;195;0;81,1523;113,8298
2018-12-17 11:00:00;40,809;0,75;-1,75;0,85;"szigetvar_gamma";"fog";0;0;-3,98;-1,75;201;0;84,4653;117,6234
2018-12-17 11:15:00;71,341;0,8125;-1,5025;0,85;"szigetvar_gamma";"cloudy";0;0;-3,73;-1,5025;204;0;86,9753;120,4841
2018-12-17 11:30:00;60,864;0,875;-1,255;0,85;"szigetvar_gamma";"cloudy";0;0;-3,48;-1,255;206;0;88,6649;122,3995
2018-12-17 11:45:00;55,277;0,9375;-1,0075;0,85;"szigetvar_gamma";"cloudy";0;0;-3,23;-1,0075;206;0;89,5226;123,3616
2018-12-17 12:00:00;50,088;1;-0,76;0,85;"szigetvar_gamma";"cloudy";0;0;-2,98;-0,76;205;0;89,5433;123,3661
2018-12-17 12:15:00;50,487;1;-0,76;0,835;"szigetvar_gamma";"cloudy";0;0;-3,23;-0,76;202;0;88,7271;122,4131
2018-12-17 12:30:00;52,383;1;-0,76;0,82;"szigetvar_gamma";"cloudy";0;0;-3,48;-0,76;197;0;87,0802;120,5067
2018-12-17 12:45:00;52,583;1;-0,76;0,805;"szigetvar_gamma";"cloudy";0;0;-3,73;-0,76;190;0;84,6144;117,6549
2018-12-17 13:00:00;47,594;1;-0,76;0,79;"szigetvar_gamma";"cloudy";0;0;-3,98;-0,76;181;0;81,3475;113,87
2018-12-17 13:15:00;40,31;1;-1,0075;0,805;"szigetvar_gamma";"fog";0;0;-3,98;-1,0075;171;0;77,1588;109,1682
2018-12-17 13:30:00;34,922;1;-1,255;0,82;"szigetvar_gamma";"fog";0;0;-3,98;-1,255;160;0;72,0804;103,5696
2018-12-17 13:45:00;30,931;1;-1,5025;0,835;"szigetvar_gamma";"fog";0;0;-3,98;-1,5025;147;0;66,299;97,0982
2018-12-17 14:00:00;27,738;1;-1,75;0,85;"szigetvar_gamma";"fog";0;0;-3,98;-1,75;132;0;59,8676;89,7817
2018-12-17 14:15:00;24,944;1;-2;0,85;"szigetvar_gamma";"fog";0;0;-4,23;-2,535;116;0;52,8694;81,6513
2018-12-17 14:30:00;20,055;1;-2,25;0,85;"szigetvar_gamma";"fog";0;0;-4,48;-3,32;98;0;45,4037;72,7419
2018-12-17 14:45:00;14,867;1;-2,5;0,85;"szigetvar_gamma";"fog";0;0;-4,73;-4,105;79;0;37,5602;63,0916
2018-12-17 15:00:00;11,674;1;-2,75;0,85;"szigetvar_gamma";"fog";0;0;-4,98;-4,89;59;0;29,4919;52,7417
2018-12-17 15:15:00;7,184;1;-2,75;0,85;"szigetvar_gamma";"fog";0;0;-4,98;-4,355;38;0;21,4166;41,7365
2018-12-17 15:30:00;3,292;1;-2,75;0,85;"szigetvar_gamma";"fog";0;0;-4,98;-3,82;16;0;13,6615;30,1232
2018-12-17 15:45:00;0,698;1;-2,75;0,85;"szigetvar_gamma";"fog";0;0;-4,98;-3,285;1;0;6,7436;17,9513
2018-12-17 16:00:00;0;1;-2,75;0,85;"szigetvar_gamma";"fog";0;0;-4,98;-2,75;0;0;1,5221;5,3193
2018-12-17 16:15:00;0;1;-3,1825;0,85;"szigetvar_gamma";"cloudy";0;0;-5,3925;-3,74;0;0;0;0
2018-12-17 16:30:00;0;1;-3,615;0,85;"szigetvar_gamma";"cloudy";0;0;-5,805;-4,73;0;0;0;0
2018-12-17 16:45:00;0;1;-4,0475;0,85;"szigetvar_gamma";"cloudy";0;0;-6,2175;-5,72;0;0;0;0
2018-12-17 17:00:00;0;1;-4,48;0,85;"szigetvar_gamma";"cloudy";0;0;-6,63;-6,71;0;0;0;0
2018-12-17 17:15:00;0;1;-4,5775;0,85;"szigetvar_gamma";"cloudy";0;0;-6,7325;-6,25;0;0;0;0
2018-12-17 17:30:00;0;1;-4,675;0,85;"szigetvar_gamma";"cloudy";0;0;-6,835;-5,79;0;0;0;0
2018-12-17 17:45:00;0;1;-4,7725;0,85;"szigetvar_gamma";"cloudy";0;0;-6,9375;-5,33;0;0;0;0
2018-12-17 18:00:00;0;1;-4,87;0,85;"szigetvar_gamma";"cloudy";0;0;-7,04;-4,87;0;0;0;0
2018-12-17 18:15:00;0;1;-4,9075;0,85;"szigetvar_gamma";"cloudy";0;0;-7,0825;-5,4775;0;0;0;0
2018-12-17 18:30:00;0;1;-4,945;0,85;"szigetvar_gamma";"cloudy";0;0;-7,125;-6,085;0;0;0;0
2018-12-17 18:45:00;0;1;-4,9825;0,85;"szigetvar_gamma";"cloudy";0;0;-7,1675;-6,6925;0;0;0;0
2018-12-17 19:00:00;0;1;-5,02;0,85;"szigetvar_gamma";"cloudy";0;0;-7,21;-7,3;0;0;0;0
2018-12-17 19:15:00;0;1;-5,0525;0,85;"szigetvar_gamma";"cloudy";0;0;-7,2225;-7,45;0;0;0;0
